"id","loc_tran_loc","loc_transfer_desc","loc_transfer_loc_group_nbr_1","loc_transfer_loc_group_nbr_2","loc_transfer_loc_group_nbr_3","loc_transfer_loc_group_nbr_4","loc_transfer_loc_group_nbr_5","loc_transfer_loc_group_nbr_6","loc_transfer_loc_group_nbr_7","loc_transfer_loc_group_nbr_8","loc_transfer_loc_group_nbr_9","loc_transfer_loc_group_nbr_10","loc_transfer_loc_group_desc","loc_tran_currency_convert_rate","loc_tran_master_nbr","loc_tran_retail_to_rental_loc","loc_tran_machine_nbr","loc_tran_data_phone","loc_tran_voice_phone","loc_tran_strip_dir","loc_tran_stripped_indr","loc_tran_lowest_movie_copy_nbr","loc_tran_seperate_system_indr","loc_tran_send_strip_directory","loc_tran_market_nbr","loc_tran_region_nbr","loc_tran_market_name","loc_tran_region_name","loc_tran_company_nbr","loc_tran_company_name","loc_tran_subtract_petty_cash_i","loc_tran_add_sales_to_movies_i","loc_tran_bld_sum_this_loc_indr","loc_tran_address","loc_tran_city","loc_tran_state","loc_tran_zip","loc_tran_zip_plus","loc_tran_last_changed_date","loc_tran_active_store_indr","loc_tran_country_code","loc_tran_zip_pc","loc_tran_inventory_price_grp","loc_tran_date_store_opened","loc_tran_rmte_pmt_store_indr","loc_tran_inv_max","loc_tran_time_zone","loc_tran_dest_based_tax_ind","loc_tran_out_of_state_ind","loc_tran_dflt_taxgrp_nbr","loc_tran_dflt_exmpt_taxgrp_nbr","loc_tran_macrs_gozone_bonus_sw","loc_tran_start_sl_depr_sw","loc_tran_bc_seqnum","loc_tran_ct_sysid","loc_tran_ct_override","loc_tran_ipaddr","loc_tran_migrate_date","loc_tran_migrate_from","created_at","updated_at","row_creator_id","ht_etl_schema"
"1","1","Proj-E Production Server","1","0","0","0","0","0","0","0","0","0","STORE 1 GROUP","0.0000","2117152","N","9000","8508926622","8508920440","BARCODE","N","7","N",,"1","1","REGION TITLE HERE","DIVISION TITLE HER","1",,"2","N","Y","110 Main","Wichita","KS","99999","0","7865875","Y","USA","99999",,"0","Y","0","EST","N","A","0","0","N","Y","16689","ebr001",,,"0",,"2021-08-26 04:09:09.226018","2021-08-26 04:09:09.226018",,"public"
"2","9000","HOME OFFICE","0","0","0","0","0","0","0","0","0","0",,"0.0000","2117152","N","9000","0","0",,,"0","N",,"1","1",,,"1",,"2",,"N",,,,"11111","0","7865868","H",,"11111",,"0","Y","0",,"N","A","5","4","N","Y","4",,,,"2105376",,"2021-08-26 04:09:09.226018","2021-08-26 04:09:09.226018",,"public"
"3","6","Proj-E Production Server","6","0","0","0","0","0","0","0","0","0","STORE 1 GROUP","0.0000","2117152","N","9000","8507841917","8507849988","BARCODE       0006/","N","7","N","           0006/","1","1","REGION TITLE HERE","DIVISION TITLE HER","1",,"2","N","Y","110 Main","Wichita","KS","99999","0","7865868","Y","USA","99999",,"0","Y","0","EST","N","A","0","0","N","Y","13445","ebr006",,,"7670288",,"2021-08-26 04:09:09.226018","2021-08-26 04:09:09.226018",,"public"
"4","7","Proj-E Production Server","7","0","0","0","0","0","0","0","0","0","STORE 1 GROUP","0.0000","2117152","N","9000","8509838232","8509837800","BARCODE       0007/","N","7","N","           0007/","1","1","REGION TITLE HERE","DIVISION TITLE HER","1",,"2","N","Y","110 Main","Wichita","KS","99999","0","7865868","Y","USA","99999",,"0","Y","0","EST","N","A","0","0","N","Y","11319","ebr007",,,"7670288",,"2021-08-26 04:09:09.226018","2021-08-26 04:09:09.226018",,"public"
"5","10","Proj-E Production Server","10","0","0","0","0","0","0","0","0","0","STORE 1 GROUP","0.0000","2117152","N","9000","3344931920","3344931919","BARCODE       0010/","N","7","N","           0010/","1","1","REGION TITLE HERE","DIVISION TITLE HER","1",,"2","N","Y","110 Main","Wichita","KS","99999","0","7865868","Y","USA","99999",,"0","Y","0","EST","N","A","0","0","N","Y","5757","ebr010",,,"7670288",,"2021-08-26 04:09:09.226018","2021-08-26 04:09:09.226018",,"public"
"6","14","Proj-E Production Server","14","0","0","0","0","0","0","0","0","0","STORE 1 GROUP","0.0000","2117152","N","9000","2514939292","2513685690","BARCODE       0014/","N","7","N","           0014/","1","1","REGION TITLE HERE","DIVISION TITLE HER","1",,"2","N","Y","110 Main","Wichita","KS","99999","0","7865868","Y","USA","99999",,"0","Y","0","EST","N","A","0","0","N","Y","1244","ebr014",,,"7670288",,"2021-08-26 04:09:09.226018","2021-08-26 04:09:09.226018",,"public"
"7","101","Proj-E Production Server","1","1","0","0","0","0","0","0","0","0",,"0.0000","2105376",,"9000","0","0","BARCODE","N","0","N",,"1","1",,,"1",,"0",,"N","110 Main","Wichita","KS","99999","0","7865868","Y","USA","99999",,"0","N","0",,"N","A","0","0","N","N","0",,,,"2105376",,"2021-08-26 04:09:09.226018","2021-08-26 04:09:09.226018",,"public"
"8","106","Proj-E Production Server","0","0","0","0","0","0","0","0","0","0",,"0.0000","2105376",,"9000","0","0","BARCODE","N","0","N",,"1","1",,,"1",,"2",,"N","110 Main","Wichita","KS","99999","0","7865868","Y","USA","99999",,"0","N","0",,"N","A","0","0","N","N","0",,,,"2105376",,"2021-08-26 04:09:09.226018","2021-08-26 04:09:09.226018",,"public"
"9","107","Proj-E Production Server","0","0","0","0","0","0","0","0","0","0",,"0.0000","2105376",,"9000","0","0","BARCODE","N","0","N",,"1","1",,,"1",,"0",,"N","110 Main","Wichita","KS","99999","0","7865868","Y","USA","99999",,"0",,"0",,"N","A","0","0","N","N","0",,,,"2105376",,"2021-08-26 04:09:09.226018","2021-08-26 04:09:09.226018",,"public"
"10","110","OPP PDL","0","0","0","0","0","0","0","0","0","0",,"0.0000","2105376",,"9000","0","0","BARCODE","N","0","N",,"1","1",,,"1",,"0",,"N","412 MAIN STREET","OPP","AL","36467","0","7670542","Y","USA","36467",,"0",,"0",,"N","A","1","3","N","N","0",,,,"2105376",,"2021-08-26 04:09:09.226018","2021-08-26 04:09:09.226018",,"public"
"11","15","Proj-E Production Server","15","0","0","0","0","0","0","0","0","0","STORE 1 GROUP","0.0000","2117152","N","9000","3346365971","3346364254","BARCODE","N","7","N",,"1","1","REGION TITLE HERE","DIVISION TITLE HER","1",,"2","N","Y","110 Main","Wichita","KS","99999","0","7865868","Y","USA","99999",,"0","Y","0","EST","N","A","0","0","N","Y","1539","ebr015",,,"7670802","SIMS","2021-08-26 04:09:09.226018","2021-08-26 04:09:09.226018",,"public"
"12","16","Proj-E Production Server","16","0","0","0","0","0","0","0","0","0","STORE 1 GROUP","0.0000","2117152","N","9000","0","8507634400","BARCODE       0016/","N","7","N","           0016/","1","1","REGION TITLE HERE","DIVISION TITLE HER","1",,"2","N","Y","110 Main","Wichita","KS","99999","0","7865868","Y","USA","99999",,"0","Y","0","EST","N","A","0","0","N","Y","13565","ebr016",,,"7801106",,"2021-08-26 04:09:09.226018","2021-08-26 04:09:09.226018",,"public"
"13","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2021-08-26 04:09:12.148421","2021-08-26 04:09:12.148421",,"public"
"14","9999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2021-08-26 04:09:24.412591","2021-08-26 04:09:24.412591",,"public"
